Final results using Attention-Weighted FedXgbBagging:
Total rounds: 20
Number of participating clients: 12
XGBoost params: {'objective': 'binary:logistic', 'eval_metric': 'logloss', 'seed': 62529, 'n_jobs': -1, 'max_depth': 3, 'learning_rate': 0.017462960628932028, 'n_estimators': 850, 'min_child_weight': 2, 'gamma': 0.6008466563824473, 'subsample': 0.8874331341725578, 'colsample_bytree': 0.7409548092577293, 'max_delta_step': 2}
Optimal Threshold: 0.4200
Accuracy: 0.9629326718
Detection Rate: 0.8865895686
False Positive Rate: 0.0085476698

--- Per-Round Attention Weights ---
Round 11: α = [0.08345747276300548, 0.08346176111337168, 0.0835112740272615, 0.08326387627179495, 0.08326387627179495, 0.08326387627179495, 0.08326387627179495, 0.0832623778306929, 0.0832146833844063, 0.08335468929400877, 0.08326387627179495, 0.08341836022827875]
  Client 0: DR=0.8505, FPR=0.0076, Score=0.8440
  Client 1: DR=0.8505, FPR=0.0076, Score=0.8441
  Client 2: DR=0.8505, FPR=0.0069, Score=0.8447
  Client 3: DR=0.8475, FPR=0.0069, Score=0.8417
  Client 4: DR=0.8475, FPR=0.0069, Score=0.8417
  Client 5: DR=0.8475, FPR=0.0069, Score=0.8417
  Client 6: DR=0.8475, FPR=0.0069, Score=0.8417
  Client 7: DR=0.8475, FPR=0.0069, Score=0.8417
  Client 8: DR=0.8475, FPR=0.0076, Score=0.8411
  Client 9: DR=0.8486, FPR=0.0069, Score=0.8428
  Client 10: DR=0.8475, FPR=0.0069, Score=0.8417
  Client 11: DR=0.8494, FPR=0.0069, Score=0.8435
Round 12: α = [0.08300894519513895, 0.08285776854076761, 0.08419092769335786, 0.08431314312055944, 0.08335213490162961, 0.08386133440316801, 0.0827537146660529, 0.08300894519513895, 0.08300894519513895, 0.08324160601719671, 0.08339358987671222, 0.08300894519513895]
  Client 0: DR=0.8563, FPR=0.0083, Score=0.8492
  Client 1: DR=0.8545, FPR=0.0083, Score=0.8474
