config,num_seeds,accuracy_mean,accuracy_std,detection_rate_mean,detection_rate_std,false_positive_rate_mean,false_positive_rate_std
FedXgbBagging/XGBoost/non-iid/12/frac_0.4,3,0.953131,0.004460,0.894795,0.015209,0.005374,0.003477
FedXgbBagging/XGBoost/non-iid/12/frac_1.0,3,0.945623,0.014699,0.879029,0.029936,0.007009,0.004169
FedXgbBagging/XGBoost/non-iid/16/frac_0.4,3,0.949318,0.001142,0.886520,0.004238,0.006015,0.001114
FedXgbBagging/XGBoost/non-iid/16/frac_1.0,3,0.893429,0.082812,0.898637,0.003446,0.110276,0.143807
FedXgbBagging/XGBoost/non-iid/2/frac_0.4,3,0.938907,0.012859,0.862152,0.037042,0.006497,0.004347
FedXgbBagging/XGBoost/non-iid/2/frac_1.0,3,0.938907,0.012859,0.862152,0.037042,0.006497,0.004347
FedXgbBagging/XGBoost/non-iid/20/frac_0.4,3,0.954293,0.001374,0.898825,0.002444,0.006252,0.003403
FedXgbBagging/XGBoost/non-iid/20/frac_1.0,3,0.843142,0.068852,0.877018,0.013102,0.180953,0.123353
FedXgbBagging/XGBoost/non-iid/4/frac_0.4,3,0.955876,0.004486,0.900982,0.011404,0.005079,0.001202
FedXgbBagging/XGBoost/non-iid/4/frac_1.0,3,0.953489,0.006780,0.896515,0.013366,0.005986,0.003463
FedXgbBagging/XGBoost/non-iid/8/frac_0.4,3,0.951114,0.002176,0.888649,0.002863,0.004455,0.002041
FedXgbBagging/XGBoost/non-iid/8/frac_1.0,3,0.954361,0.001397,0.896520,0.003243,0.004497,0.001285
mu_sweep/20/mu_0.001,3,0.771853,0.132065,0.963503,0.046928,0.364468,0.259232
mu_sweep/20/mu_0.01,3,0.843512,0.142869,0.945690,0.038264,0.229167,0.271669
mu_sweep/20/mu_0.05,3,0.945988,0.001961,0.881339,0.020664,0.008028,0.011345
mu_sweep/20/mu_0.1,3,0.707252,0.221204,0.959626,0.050523,0.472261,0.408944
mu_sweep/20/mu_0.5,3,0.846502,0.151557,0.931222,0.048035,0.213760,0.293435
mu_sweep/20/mu_1.0,3,0.949011,0.006034,0.877719,0.015039,0.000279,0.000376
